basis,n_dof,n_q_per_segment,cholesky_ok,seconds_construct,seconds_solve,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4,e_lam_mode5,e_lam_mode6,e_lam_mode7,e_lam_mode8,e_lam_mode9,e_lam_mode10
chebyshev,6,12,True,0.00010737497359514236,0.00027547101490199566,0.000382845988497138,1.6264524532184607e-10,2.7795395144761537e-05,0.0006185482576926655,0.127694682780906,0.2511374243064688,10.354217002214885,nan,nan,nan,nan
bspline_p3,5,12,True,0.00017238291911780834,0.00047038099728524685,0.0006427639164030552,7.00597014511703e-05,0.003529194115143614,0.035991656480479355,0.043824924069169754,3.9639535733376317,nan,nan,nan,nan,nan
monomial_raw,8,16,True,8.03195871412754e-06,0.00016539101488888264,0.00017342297360301018,2.0096583489452704e-12,1.8444835969957652e-08,2.207067811159684e-06,0.0035563650899572323,0.01239661029064862,0.42165302077108724,0.6530250110278529,20.786068324360805,nan,nan
monomial_orthonormalized,8,16,True,0.06242775986902416,0.00016980688087642193,0.06259756674990058,8.76944437552766e-13,1.843661793607729e-08,2.2071561456399875e-06,0.0035563721560668247,0.012397323551693134,0.42165426661491817,0.6530615544583912,20.786540199408112,nan,nan
shifted_legendre,8,16,True,0.0001523829996585846,0.002333698095753789,0.0024860810954123735,8.318255528417111e-13,1.844147654288995e-08,2.20715605126299e-06,0.003556372155888252,0.012397323552865483,0.4216542666171822,0.653061554484236,20.78654019860664,nan,nan
integrated_legendre,8,16,True,0.00038734194822609425,0.0005370208527892828,0.000924362801015377,1.232722649478155e-12,1.8440818683382967e-08,2.2071555974171506e-06,0.0035563721558644836,0.012397323552777501,0.42165426661591765,0.6530615544833951,20.78654019866965,nan,nan
chebyshev,8,16,True,0.00013718311674892902,0.00032116612419486046,0.0004583492409437895,7.72912359429187e-13,1.84414003253176e-08,2.20715607276661e-06,0.003556372156005102,0.012397323552683146,0.42165426661623256,0.653061554483604,20.786540198674313,nan,nan
bspline_p3,7,14,True,0.00019478308968245983,0.0007038679905235767,0.0008986510802060366,1.3525874962634655e-05,0.0006052175331229153,0.00581518061937795,0.028356981093676237,0.08290445599784253,0.0616628322844709,4.74972137535816,nan,nan,nan
monomial_raw,10,20,True,5.151843652129173e-06,0.00018795114010572433,0.0001931029837578535,1.0489422241742082e-13,3.682327320461825e-12,3.0822467710038412e-09,3.5488995328071885e-05,0.00024655159495271043,0.03103352402952259,0.05997340805110631,0.9403598824650832,1.2334729238457973,36.608790131213446
monomial_orthonormalized,10,20,True,0.052352732978761196,0.00019463896751403809,0.052547371946275234,2.119581746410102e-12,1.9614024418064657e-12,3.1334465310387104e-09,3.5578351160961404e-05,0.00026317365296301505,0.031098804443754232,0.06345657559048416,0.9432169118459445,1.307093242364951,37.53616054815535
shifted_legendre,10,20,True,0.00021004700101912022,0.0004285569302737713,0.0006386039312928915,3.7876872642783736e-13,3.6268324981961857e-12,3.1334952725766236e-09,3.5578351117407024e-05,0.00026317365673434644,0.031098804451619756,0.06345657541657268,0.943216911705584,1.307093243204181,37.536160567586066
integrated_legendre,10,20,True,0.000549084972590208,0.0006972441915422678,0.0012463291641324759,4.49895630669787e-12,2.9951983924511916e-12,3.1328403678931916e-09,3.5578350816881794e-05,0.00026317365587585125,0.031098804449950786,0.06345657541568976,0.9432169116936199,1.3070932432135038,37.53616056817295
chebyshev,10,20,True,0.00017206184566020966,0.00037852581590414047,0.0005505876615643501,2.4035146005153395e-12,3.4905540738982853e-12,3.131401656272876e-09,3.557835086217835e-05,0.0002631736560601918,0.03109880444857307,0.0634565754155562,0.943216911691108,1.3070932432127793,37.53616056850813
bspline_p3,9,18,True,0.0002520470879971981,0.001062760828062892,0.00131480791606009,4.242673176484067e-06,0.0001802519150456209,0.0016053975825425287,0.007352567357617613,0.024490665642825517,0.06389832262297165,0.1155412366545973,0.07104399845402924,5.211786936250119,nan
monomial_raw,12,24,True,7.119961082935333e-06,0.00021179113537073135,0.0002189110964536667,1.2931877026195943e-11,3.77560311138806e-11,1.1648869167594209e-11,6.086823369368204e-08,1.600273603519889e-05,0.0005294905105961071,0.16698639867786622,0.3275130486714287,0.2952352172512363,0.5124047962426067
monomial_orthonormalized,12,24,True,0.009565477026626468,0.00021875114180147648,0.009784228168427944,2.7322645888287877e-11,7.989334332232825e-11,5.328119095413775e-12,1.4645259989623087e-07,2.365856905870606e-06,0.0011787037169814795,0.0037945379070209247,0.11242882125896575,0.1802414747019099,1.7407933343099153
shifted_legendre,12,24,True,0.0002819020301103592,0.0005462209228426218,0.000828122952952981,2.5482542583798165e-11,7.4389404314881e-11,5.741466451246322e-13,1.4645001139714533e-07,2.365857619370656e-06,0.0011787037718421222,0.0037945377411961255,0.11242882092323328,0.1802414757398386,1.7407933295720688
integrated_legendre,12,24,True,0.0007480110507458448,0.0008792590815573931,0.001627270132303238,1.1952768489822922e-11,1.9108834211152768e-11,2.149167321221834e-13,1.464495973816433e-07,2.3658580357763527e-06,0.0011787037747203306,0.0037945377374587522,0.11242882092899081,0.18024147573194083,1.7407933296458946
chebyshev,12,24,True,0.00022057420574128628,0.00047476496547460556,0.0006953391712158918,3.568199696137811e-11,1.0100151314493741e-10,4.829474048233122e-12,1.4644951910819855e-07,2.365857982040709e-06,0.0011787037748328141,0.0037945377387149206,0.11242882092790411,0.18024147573764596,1.7407933296416207
bspline_p3,11,22,True,0.0003065899945795536,0.0015389190521091223,0.0018455090466886759,1.7305078070826126e-06,7.161319081765776e-05,0.0006118679368347318,0.00265665726914793,0.008444451268003503,0.022265481199090435,0.05072082933865807,0.09717274167502357,0.13542913567522316,0.07502793094738303
monomial_raw,16,32,False,9.13604162633419e-06,0.0002615980338305235,0.0002707340754568577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
monomial_orthonormalized,16,32,True,0.014189352979883552,0.00027663796208798885,0.01446599094197154,6.0348519971055e-11,1.659286990304745e-10,1.9782732771413542e-11,6.495824828823786e-14,4.421241221797692e-11,1.6534181047047447e-07,1.4671234465395107e-06,0.0004131016694612669,0.0012826714105337094,0.038548973520000876
