k_hat,basis,n_dof,jump_capable,n_q_per_segment,cholesky_ok,seconds_construct,seconds_solve,seconds,e_lam_vs_uniform_mode1,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4,e_lam_mode5,e_lam_mode6
1.0,shifted_legendre,24,False,48,True,0.0008800111245363951,0.0018726440612226725,0.0027526551857590675,6.969995485214058e-10,2.1083770651587814,0.006565858741516773,0.2464726837341682,0.473298959179514,0.23216279010164798,0.051391394257555456
1.0,integrated_legendre,24,False,48,True,0.002327569993212819,0.0025731681380420923,0.004900738131254911,1.5697112886635554e-09,2.1083770722045734,0.006565863396597701,0.24647268369004519,0.4732989592351852,0.23216279006193796,0.05139139423623218
1.0,chebyshev,24,False,48,True,0.0006142521742731333,0.001575301866978407,0.00218955404125154,1.5256754008762815e-09,2.108377072067693,0.006565865265723977,0.24647268394434863,0.473298959222242,0.23216279012750912,0.051391394238795546
1.0,bspline_C0,23,True,48,True,0.000584091991186142,0.006792391184717417,0.007376483175903559,0.6782886976150889,3.4632618935971526e-08,4.254912130392042e-06,2.7407788896933196e-05,9.249196222139344e-05,0.0003165540660530718,0.0008731837999181675
1.0,enriched_split,24,True,48,False,5.807890556752682e-05,0.0007528439164161682,0.000810922821983695,nan,nan,nan,nan,nan,nan,nan
1.0,enriched_split_orthonormalized,24,True,48,True,0.013216302962973714,0.0007770669180899858,0.0139933698810637,0.6782888254085294,3.625975812320999e-07,3.8134746370399522e-06,4.380824117508949e-05,8.850471402061762e-05,8.763151708800732e-05,7.164124644578888e-05
1.0,hermite_fem_split_rotation,81,True,,True,1.8719583749771118e-06,0.001966692041605711,0.001968563999980688,0.6782887055414415,9.99452637203776e-09,2.6114945836914244e-07,1.6523925390932617e-06,5.352798673844067e-06,1.745628715946035e-05,4.5571507061081634e-05
10.0,monomial_raw,8,False,16,True,5.13601116836071e-06,0.0004589250311255455,0.0004640610422939062,1.0144564524205356e-13,0.210606988280498,0.0016367996880301832,0.05476130769507374,0.14066667010774764,0.11069879334994458,0.4544953570073709
10.0,monomial_orthonormalized,8,False,16,True,0.05912196007557213,0.0002963501028716564,0.05941831017844379,2.8695035913368405e-13,0.2106069882809682,0.00163679968970174,0.054761307721356005,0.1406666747727789,0.11069903117201213,0.4544961359441829
10.0,shifted_legendre,8,False,16,True,0.00015718280337750912,0.0004431488923728466,0.0006003316957503557,1.316781718127732e-12,0.2106069882822149,0.001636799692158532,0.054761307720683,0.1406666747723817,0.11069903117234946,0.45449613594346566
10.0,integrated_legendre,8,False,16,True,0.00039401394315063953,0.0006514040287584066,0.0010454179719090462,9.954892779560156e-13,0.21060698827941565,0.001636799686992936,0.054761307720709466,0.14066667477265116,0.11069903117246577,0.45449613594452565
10.0,chebyshev,8,False,16,True,0.0001279190182685852,0.00040362984873354435,0.0005315488670021296,1.2946533479191254e-13,0.2106069882804641,0.0016367996881255231,0.05476130772096362,0.1406666747726946,0.1106990311720619,0.4544961359454912
10.0,bspline_C0,8,True,16,True,0.0002393750473856926,0.0007676270324736834,0.001007002079859376,0.1739488299722449,2.331911298362014e-05,0.0012759682837403651,0.011292318429327541,0.04916123193553012,0.03549510843439274,1.488225844057497
10.0,enriched_split,8,True,16,True,2.2575026378035545e-05,0.0002914711367338896,0.0003140461631119251,0.17396809067194072,1.9753326829628745e-09,2.3115839532952758e-05,0.000380384105181704,0.08060392784735165,0.24989986427977742,1.7302970998036216
10.0,enriched_split_orthonormalized,8,True,16,True,0.061437129974365234,0.00029929401353001595,0.06173642398789525,0.17396809067166627,1.9756649331632797e-09,2.311584019998062e-05,0.0003803841351626376,0.08060392845671359,0.24989987547459303,1.7302971393396978
10.0,hermite_fem_split_rotation,81,True,,True,1.103850081562996e-06,0.058056414127349854,0.058057517977431417,0.1739680975047682,6.2965359969950756e-09,2.626726083396071e-07,1.9532557331231715e-06,6.9469239920340365e-06,1.96238556925752e-05,4.686447680892502e-05
10.0,monomial_raw,12,False,24,True,9.760027751326561e-06,0.0005827960558235645,0.0005925560835748911,7.515886572281661e-12,0.2106069882897196,0.0016367812395443261,0.05475897963824756,0.13662459477389416,0.09707807374788868,0.024452167703549153
10.0,monomial_orthonormalized,12,False,24,True,0.012442645151168108,0.0003821409773081541,0.012824786128476262,2.786579679340822e-11,0.21060698831435534,0.0016367812993136814,0.05475897970414444,0.13662458180817316,0.09710054845285285,0.024307097856444172
10.0,shifted_legendre,12,False,24,True,0.00030623795464634895,0.0007689390331506729,0.0010751769877970219,1.846914244411064e-11,0.21060698825826193,0.0016367811678475088,0.05475897971092812,0.13662458180910075,0.0971005484602424,0.024307097882583673
10.0,integrated_legendre,12,False,24,True,0.0007392119150608778,0.0010254341177642345,0.0017646460328251123,1.807514250182493e-11,0.2106069883025027,0.0016367812518219543,0.05475897970993645,0.1366245818101094,0.0971005484596065,0.024307097883233077
10.0,chebyshev,12,False,24,True,0.00021518277935683727,0.0006188279949128628,0.0008340107742697,8.085763950511101e-12,0.21060698827083213,0.0016367811926381248,0.05475897969963518,0.13662458180975223,0.09710054845949778,0.02430709788253707
