arm,w_orth,seed,n_basis,corr_index,corr_eig_max,corr_eig_2nd,corr_ratio_2nd_to_max,corr_rank_1e12,offdiag_penalty,offdiag_penalty_max,offdiag_ratio,raw_index_confounded,eig_max,eig_2nd,eig_ratio_2nd_to_max,gram_trace,sum_sq_norms,norm_max_over_min,rank_1e12,seconds
d_neural_basis_galerkin(M=9),0.0,10,9,0.9999547261570767,8.99959253541369,0.00040645651824636593,4.516388010312092e-05,5,71.99266596868166,72.0,0.999898138453912,0.9999974424728394,47.433952839791345,0.00012091755345263349,2.5491772499128157e-06,47.43407415372433,47.43407415372434,12.638618276148954,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,11,9,0.9998368648042094,8.998531783237885,0.0014626345001294457,0.00016254146069184135,5,71.97357639327265,72.0,0.9996330054621202,0.9999951160709919,37.237408905116055,0.00018061141161417147,4.850267967741365e-06,37.237590770865815,37.23759077086582,47.03952735908737,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,12,9,0.9999713391379353,8.999742052241418,0.000256244466385747,2.847242342039441e-05,5,71.99535707254662,72.0,0.9999355148964809,0.9999984521660797,45.909658386029705,7.06964603306294e-05,1.5399038637181912e-06,45.90972944666621,45.909729446666226,17.659182035943573,5,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,13,9,0.9999041764043621,8.99913758763926,0.0008562274465871684,9.514550013806181e-05,6,71.98447805442454,72.0,0.9997844174225631,0.9999961778589015,17.909242024998704,6.595922082108186e-05,3.6829711011226692e-06,17.909310476910324,17.909310476910328,43.582965569271295,5,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,14,9,0.9999719560418,8.9997476043762,0.00024891839788968836,2.7658375415844972e-05,5,71.99545700444762,72.0,0.9999369028395502,0.9999979668406499,52.21762380605033,0.00010430312526408847,1.997469774792838e-06,52.21772997301626,52.21772997301624,14.06169819866507,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,15,9,0.9999948236878731,8.999953413190857,4.622548207706913e-05,5.136191261759018e-06,5,71.99916144174266,72.0,0.9999883533575369,0.9999998574873604,93.26504199423934,1.3044388535376951e-05,1.3986364297335178e-07,93.26505528568855,93.26505528568859,70.36633828048754,4,296.9367328209337
d_neural_basis_galerkin(M=9),1000000.0,0,9,0.9998518828269027,8.998666945442125,0.0013001074328923942,0.00014447778107299614,5,71.97600848635628,72.0,0.9996667845327261,0.9999973377432783,19.25248745928223,5.1152811690402616e-05,2.656945592022201e-06,19.25253871448283,19.252538714482853,115.24977870818599,5,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,1,9,0.9998275893756587,8.99844830438093,0.0015492749001358472,0.00017217133973882772,5,71.97207428687457,72.0,0.999612142873258,0.9999992011707252,48.517237085269336,3.8556231501252875e-05,7.946914090241797e-07,48.517275842289614,48.517275842289614,42.01975495140834,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,2,9,0.9999765877117307,8.999789289405577,0.00020748317550438748,2.3054225919337213e-05,4,71.99620729675901,72.0,0.9999473235660974,0.9999995803754684,67.46623410181999,2.7182503979376994e-05,4.0290531020826177e-07,67.46626241231876,67.46626241231874,17.940340812771783,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,3,9,0.9999928519708785,8.999935667737907,6.411771638447307e-05,7.124241633672563e-06,5,71.99884202753205,72.0,0.9999839170490562,0.9999982927861707,38.10483230065856,6.487780762722991e-05,1.7026136505555134e-06,38.104897353866285,38.1048973538663,6.517567106791768,4,298.21657834690996
