m,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
1,monomial_raw,6,1867911832.6897235,10689079.334856164,1501329183.179512,12821884.944256,10248625.413851567,True,107871.12298643675,95.6459336647115,6.247771854066293e-16,95.64593366472262,cholesky,1.1618777674587925e-13
1,monomial_orthonormalized,6,1.8641737665354592,104963.69588071875,1.82126106490205,129040.45440468178,75.11732846320974,True,107871.1216646203,95.6459336647363,2.2406238966787213e-17,95.6459336647178,cholesky,1.9344819095030997e-13
1,shifted_legendre,6,29491.701750891953,1114.8658537830854,59710.68572605976,31.374978337455815,29.69351421943066,True,107871.12166476324,95.64593366468971,1.0120354559365677e-14,95.64593366471789,cholesky,2.946296180141815e-13
1,integrated_legendre,6,2260223.325526223,234.3307814272146,3122.7823149672367,4535.311816069151,13.306905992433041,True,107871.12166464096,95.64593366472177,3.582586520954649e-15,95.64593366471786,cholesky,4.085887289657082e-14
1,chebyshev,6,34174.71076546961,2193.727559878121,35287.188182910366,22.278707205819494,18.599382100174978,True,107871.12166442798,95.64593366472123,9.339675501085943e-16,95.64593366471786,cholesky,3.521291955086285e-14
1,bspline_p3,5,18.314429161603638,2228.1673194047,16.75245068167506,2448.7650592754762,2037.0593589514576,True,19949.496896860368,95.70370811729633,8.896948836372432e-16,95.70370811728039,cholesky,1.6660356535942492e-13
1,radial_hermite_fem,80,3625666.647454619,169418071.81234762,29.17299554003553,112299304.49116245,15289733.044754751,True,850691299.0862056,95.64573773585019,6.809722907262935e-16,95.64573873975154,cholesky,1.0496038394186584e-08
1,monomial_raw,8,3070182333731.297,9518790588.484655,2286399191801.1484,11305729936.000862,9667674256.245853,True,699918.6556745181,95.64573358704418,3.943144216018844e-15,95.64573358682193,cholesky,2.323611817868527e-12
1,monomial_orthonormalized,8,2.0112630161981646,699783.5076071558,1.9784751545807346,870260.570671816,141.66042234402283,True,699930.7345643246,95.64573358656517,3.158284620815528e-17,95.64573358680589,cholesky,2.5167632574257677e-12
1,shifted_legendre,8,129918.1620919533,5168.062807935977,310408.4134820021,85.78034162112071,88.196723403407,True,699930.7345395323,95.64573358671952,1.318049193010413e-14,95.64573358680596,cholesky,9.038001590956333e-13
