k_hat,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
1.0,shifted_legendre,16,4175067.666481988,334834.8664231176,14914989.857503658,860.1430549900907,1090.5087729877969,True,68101455.55399083,12.362363369744083,1.623842088355652e-13,12.36236336832619,cholesky,1.1469436029623636e-10
1.0,integrated_legendre,16,4548248526.547487,471.54417907876615,678628.2277562902,316128.6724842568,13.928203230275537,True,68101455.54973657,12.36236336610139,1.3089911322040873e-11,12.362363368326179,cholesky,1.799647183501188e-10
1.0,chebyshev,16,7490885.98124217,844826.6289592775,6056509.187028806,253.19328323789404,282.8883554262598,True,68101455.54981682,12.362363368554993,1.3242635239404427e-14,12.362363368326188,cholesky,1.8508226318764805e-11
1.0,bspline_C0,16,26.528324064564668,4097246.3108761613,20.308538483470333,8398987.105464444,190674.3939879021,True,44077802.67330703,3.977112947330352,4.796376625319207e-17,3.9771129475469498,cholesky,5.4461076067707867e-11
1.0,enriched_split,16,6.531149335784302e+17,1.2329163646588206e+18,4.5427847647310464e+17,7.202694124299981e+17,1.3329153517288225e+19,False,nan,nan,nan,-12366.9492330042,general_pencil,nan
1.0,enriched_split_orthonormalized,16,1.0038803543625274,89957341.90765972,1.0019476278913166,89954236.1222954,3448.1635136401715,True,89955707.64425367,3.9771118819531566,1.3649063294165096e-17,3.9771118818110365,cholesky,3.573449721679936e-11
1.0,hermite_fem_split_rotation,81,1296196.1551142938,181263649.1185201,29.164828632867373,305896995.5166484,41557566.06350081,True,2327074948.982084,3.9771119217912845,1.7166671610473234e-15,3.9771118889857635,cholesky,8.24857883864358e-09
1.0,monomial_raw,20,2.002973735770418e+18,5.143481692579785e+18,7.546961433926176e+17,3.7257035291035756e+18,2.7053051730784688e+17,False,nan,nan,nan,-27823889.942106154,general_pencil,nan
1.0,monomial_orthonormalized,20,1.3122461213544578,345100038.8409178,1.3121456441569848,344521966.41627586,2806.5469644918267,True,343021872.9191278,12.362363366489593,6.343993108328318e-18,12.362363368324958,cholesky,1.4846397752317247e-10
1.0,shifted_legendre,20,14205572.04434656,1327008.4295692854,54312681.36775506,2020.409071911582,2769.3209785250847,True,345597067.9251127,12.362363363948052,2.1481035005732984e-13,12.362363368326184,cholesky,3.5415005242646885e-10
1.0,integrated_legendre,20,28390076070.016968,593.2329994861896,2337161.5014931164,798072.271946299,13.928203230275495,True,345597068.24464566,12.362363352713203,9.191805953754367e-11,12.362363368326214,cholesky,1.2629471293687962e-09
1.0,chebyshev,20,26360575.066349555,3458416.1356095346,20703070.457544625,469.2845128617019,571.5715506496766,True,345597068.2141166,12.362363365053787,8.198417760114384e-14,12.362363368326191,cholesky,2.647070363525652e-10
1.0,bspline_C0,20,26.47483466691784,79577080.77343008,19.99733743691813,185472880.62528443,528913.208360209,True,756017790.2608806,3.977112218124915,1.1376639063247869e-17,3.977112218231595,cholesky,2.6823482042967478e-11
1.0,enriched_split,20,4.0081644926590035e+17,1.4155770418742458e+17,1.643785339499449e+17,3.711610547872924e+17,2.4027039507180218e+17,False,nan,nan,nan,-1387392.1583878004,general_pencil,nan
1.0,enriched_split_orthonormalized,20,1.0134799668949805,522751551.8444296,1.0129632789939624,522677539.04516405,9888.10780511895,True,522580876.99337023,3.9771124030147296,8.97885235748906e-18,3.9771124039096843,cholesky,2.2502627184322114e-10
1.0,hermite_fem_split_rotation,81,1296196.1551142938,181263649.1185201,29.164828632867373,305896995.5166484,41557566.06350081,True,2327074948.982084,3.9771119217912845,1.7166671610473234e-15,3.9771118889857635,cholesky,8.24857883864358e-09
1.0,monomial_raw,24,2.8255708746254454e+18,1.378372473373655e+18,5.725931393060782e+18,1.1612883193692697e+19,3.0624325295160586e+18,False,nan,nan,nan,-175586.4428406127,general_pencil,nan
1.0,monomial_orthonormalized,24,604.1924054139772,869974674.1303279,593.5896331754278,948709304.0586516,3895670.258936469,True,965094530.8536255,12.36234602563247,2.740830584818996e-17,12.362346004962422,cholesky,1.672016684810671e-09
1.0,shifted_legendre,24,39204001.99369421,4188471.1657719826,156855481.10940614,4092.7512479624925,5945.019956918333,True,1329520291.804018,12.362363359709628,2.0508808339810385e-13,12.362363368326186,cholesky,6.969992611399747e-10
1.0,integrated_legendre,24,129508460197.09302,714.9218198935797,6491745.025694254,1690313.9154671016,13.928203230275548,True,1329520296.1847177,12.36236338773153,1.13958842160861e-10,12.36236336832619,cholesky,1.5697112886635554e-09
1.0,chebyshev,24,74514841.9351708,11166805.185191171,57304596.159900434,781.4365448900516,1015.6169384096513,True,1329520294.42433,12.362363387187143,2.2188279680742373e-13,12.362363368326186,cholesky,1.525675688257713e-09
1.0,bspline_C0,23,26.486222397675043,2653863.1200103094,19.737050981342662,3921132.715414628,923935.4509262237,True,32304530.25593458,3.977112019779735,1.0814581466346976e-16,3.9771120197242196,cholesky,1.3958770044200535e-11
1.0,enriched_split,24,2.5020996108487757e+18,8.37275343854612e+17,1.2969165499702666e+18,2.256402887070001e+19,7.208417226692749e+17,False,nan,nan,nan,-6350277.349629367,general_pencil,nan
1.0,enriched_split_orthonormalized,24,92.8391334868826,1779852159.4852996,92.80569603332818,1786008422.7443676,19448.859000889726,True,2298496811.6264505,3.977110439950786,4.6992032041358986e-17,3.977110408331989,cholesky,7.950193510316956e-09
1.0,hermite_fem_split_rotation,81,1296196.1551142938,181263649.1185201,29.164828632867373,305896995.5166484,41557566.06350081,True,2327074948.982084,3.9771119217912845,1.7166671610473234e-15,3.9771118889857635,cholesky,8.24857883864358e-09
10.0,monomial_raw,8,2133259516835.8428,5832933018.802865,1547857446821.9358,6950098132.065096,5933993514.7451315,True,543149.6886947288,12.362363368324935,1.0397404494260137e-15,12.362363368326214,cholesky,1.0345731526101758e-13
10.0,monomial_orthonormalized,8,1.0000000001350717,543164.412101713,1.0000000001350622,543164.4121019919,87.8003055902374,True,543164.4120980884,12.362363368329737,7.903493062761194e-18,12.362363368326221,cholesky,2.843639262521579e-13
10.0,shifted_legendre,8,109089.91238268255,6083.313358639364,279676.60236801533,67.78770328363132,65.89494466120645,True,543164.4120959464,12.362363368342468,2.0777424284099515e-14,12.362363368326223,cholesky,1.3140515945305626e-12
10.0,integrated_legendre,8,19061900.32760243,228.1665382639197,16173.75198865781,16145.767752373471,13.928203230275509,True,543164.4120979264,12.362363368313883,7.138424916535661e-14,12.362363368326221,cholesky,9.980757108375385e-13
10.0,chebyshev,8,170670.83982472512,13373.645038698183,150921.14320372915,39.442279532636384,32.95864996154468,True,543164.4120980127,12.362363368324589,1.4134446296419689e-15,12.362363368326221,cholesky,1.3205176767343765e-13
10.0,bspline_C0,8,26.617341618594853,20281.64549056083,22.814144012479467,27952.45057880324,4266.186311833307,True,156788.5848015976,10.211944724714108,1.4954063810548878e-16,10.211944724717057,cholesky,2.8875522076292053e-13
10.0,enriched_split,8,9222354794.596657,8911537.61148168,7235645900.008482,10672704.66284573,9802310.649162346,True,173938.46849297397,10.21170661694574,9.668760494990567e-16,10.2117066169453,cholesky,4.314034007207337e-14
10.0,enriched_split_orthonormalized,8,1.0009400652105769,173961.67968023202,1.0005525156217954,173946.7759927572,63.18730133468564,True,173938.48237072927,10.211706616949133,2.594057085872647e-17,10.211706616945305,cholesky,3.74868680868218e-13
10.0,hermite_fem_split_rotation,81,1296196.1551142938,72565960.95896403,29.164828632867373,121901166.53900252,16186001.54239181,True,976211093.3745035,10.211706532475844,1.7087923721135278e-15,10.211706651698872,cholesky,1.1675132469139486e-08
10.0,monomial_raw,12,3.023795205250497e+17,5713700659640837.0,8.652184482477536e+16,6701851394096556.0,6149378319290942.0,False,nan,12.362363368419103,2.5839289357101377e-14,12.362363368326186,cholesky,7.516173953712944e-12
10.0,monomial_orthonormalized,12,1.0000002819753677,8785065.990356179,1.0000002819328038,8785065.981094185,365.21867396646,True,8785065.964220922,12.362363368670676,4.020619374926933e-17,12.362363368326198,cholesky,2.786507833983e-11
10.0,shifted_legendre,12,890806.6729643898,60049.834018938025,2844700.988719922,292.2517145747741,332.2091390794235,True,8785065.98070808,12.362363368097867,7.58417866077193e-14,12.362363368326195,cholesky,1.846957351625755e-11
10.0,integrated_legendre,12,449931609.61248493,349.8553586713444,141133.69752795013,94144.90246396227,13.928203230275473,True,8785065.980848752,12.36236336854964,1.313519114474731e-12,12.362363368326202,cholesky,1.807413666681543e-11
10.0,chebyshev,12,1518996.9829343276,144128.45386184996,1279130.7087345899,115.68851201288123,114.72037157306637,True,8785065.980678093,12.36236336822623,1.8053464552517383e-14,12.362363368326195,cholesky,8.086195022658019e-12
10.0,bspline_C0,12,26.93777251604696,543067.7483796872,21.18567520209512,977207.959876046,21858.243187294345,True,5009217.845395735,10.211742371576806,8.780162034447926e-17,10.211742371585446,cholesky,8.461043524643254e-13
