family,solver,mode,e_lam_source,size_label,size,iterations,e_lam,p_correct,seconds_reported,seconds_per_attempt,accounting,E_T_success,factorization_ok,ensemble_seconds,seconds_per_attempt_min,seconds_per_attempt_max
classical,shifted_legendre,3,p1_basis_study.csv,n_dof,10,,3.1334952725766236e-09,1.0,0.0006386039312928915,0.0006386039312928915,single deterministic solve (numpy/CPU),0.0006386039312928915,True,,,
classical,integrated_legendre,1,p1_basis_study.csv,n_dof,10,,4.49895630669787e-12,1.0,0.0012463291641324759,0.0012463291641324759,single deterministic solve (numpy/CPU),0.0012463291641324759,True,,,
classical,integrated_legendre,2,p1_basis_study.csv,n_dof,10,,2.9951983924511916e-12,1.0,0.0012463291641324759,0.0012463291641324759,single deterministic solve (numpy/CPU),0.0012463291641324759,True,,,
classical,integrated_legendre,3,p1_basis_study.csv,n_dof,10,,3.1328403678931916e-09,1.0,0.0012463291641324759,0.0012463291641324759,single deterministic solve (numpy/CPU),0.0012463291641324759,True,,,
classical,chebyshev,1,p1_basis_study.csv,n_dof,10,,2.4035146005153395e-12,1.0,0.0005505876615643501,0.0005505876615643501,single deterministic solve (numpy/CPU),0.0005505876615643501,True,,,
classical,chebyshev,2,p1_basis_study.csv,n_dof,10,,3.4905540738982853e-12,1.0,0.0005505876615643501,0.0005505876615643501,single deterministic solve (numpy/CPU),0.0005505876615643501,True,,,
classical,chebyshev,3,p1_basis_study.csv,n_dof,10,,3.131401656272876e-09,1.0,0.0005505876615643501,0.0005505876615643501,single deterministic solve (numpy/CPU),0.0005505876615643501,True,,,
classical,bspline_p3,1,p1_basis_study.csv,n_dof,9,,4.242673176484067e-06,1.0,0.00131480791606009,0.00131480791606009,single deterministic solve (numpy/CPU),0.00131480791606009,True,,,
classical,bspline_p3,2,p1_basis_study.csv,n_dof,9,,0.0001802519150456209,1.0,0.00131480791606009,0.00131480791606009,single deterministic solve (numpy/CPU),0.00131480791606009,True,,,
classical,bspline_p3,3,p1_basis_study.csv,n_dof,9,,0.0016053975825425287,1.0,0.00131480791606009,0.00131480791606009,single deterministic solve (numpy/CPU),0.00131480791606009,True,,,
classical,monomial_raw,1,p1_basis_study.csv,n_dof,12,,1.2931877026195943e-11,1.0,0.0002189110964536667,0.0002189110964536667,single deterministic solve (numpy/CPU),0.0002189110964536667,True,,,
classical,monomial_raw,2,p1_basis_study.csv,n_dof,12,,3.77560311138806e-11,1.0,0.0002189110964536667,0.0002189110964536667,single deterministic solve (numpy/CPU),0.0002189110964536667,True,,,
classical,monomial_raw,3,p1_basis_study.csv,n_dof,12,,1.1648869167594209e-11,1.0,0.0002189110964536667,0.0002189110964536667,single deterministic solve (numpy/CPU),0.0002189110964536667,True,,,
classical,monomial_orthonormalized,1,p1_basis_study.csv,n_dof,12,,2.7322645888287877e-11,1.0,0.009784228168427944,0.009784228168427944,single deterministic solve (numpy/CPU),0.009784228168427944,True,,,
classical,monomial_orthonormalized,2,p1_basis_study.csv,n_dof,12,,7.989334332232825e-11,1.0,0.009784228168427944,0.009784228168427944,single deterministic solve (numpy/CPU),0.009784228168427944,True,,,
classical,monomial_orthonormalized,3,p1_basis_study.csv,n_dof,12,,5.328119095413775e-12,1.0,0.009784228168427944,0.009784228168427944,single deterministic solve (numpy/CPU),0.009784228168427944,True,,,
classical,shifted_legendre,1,p1_basis_study.csv,n_dof,12,,2.5482542583798165e-11,1.0,0.000828122952952981,0.000828122952952981,single deterministic solve (numpy/CPU),0.000828122952952981,True,,,
classical,shifted_legendre,2,p1_basis_study.csv,n_dof,12,,7.4389404314881e-11,1.0,0.000828122952952981,0.000828122952952981,single deterministic solve (numpy/CPU),0.000828122952952981,True,,,
classical,shifted_legendre,3,p1_basis_study.csv,n_dof,12,,5.741466451246322e-13,1.0,0.000828122952952981,0.000828122952952981,single deterministic solve (numpy/CPU),0.000828122952952981,True,,,
classical,integrated_legendre,1,p1_basis_study.csv,n_dof,12,,1.1952768489822922e-11,1.0,0.001627270132303238,0.001627270132303238,single deterministic solve (numpy/CPU),0.001627270132303238,True,,,
classical,integrated_legendre,2,p1_basis_study.csv,n_dof,12,,1.9108834211152768e-11,1.0,0.001627270132303238,0.001627270132303238,single deterministic solve (numpy/CPU),0.001627270132303238,True,,,
classical,integrated_legendre,3,p1_basis_study.csv,n_dof,12,,2.149167321221834e-13,1.0,0.001627270132303238,0.001627270132303238,single deterministic solve (numpy/CPU),0.001627270132303238,True,,,
classical,chebyshev,1,p1_basis_study.csv,n_dof,12,,3.568199696137811e-11,1.0,0.0006953391712158918,0.0006953391712158918,single deterministic solve (numpy/CPU),0.0006953391712158918,True,,,
classical,chebyshev,2,p1_basis_study.csv,n_dof,12,,1.0100151314493741e-10,1.0,0.0006953391712158918,0.0006953391712158918,single deterministic solve (numpy/CPU),0.0006953391712158918,True,,,
classical,chebyshev,3,p1_basis_study.csv,n_dof,12,,4.829474048233122e-12,1.0,0.0006953391712158918,0.0006953391712158918,single deterministic solve (numpy/CPU),0.0006953391712158918,True,,,
classical,bspline_p3,1,p1_basis_study.csv,n_dof,11,,1.7305078070826126e-06,1.0,0.0018455090466886759,0.0018455090466886759,single deterministic solve (numpy/CPU),0.0018455090466886759,True,,,
classical,bspline_p3,2,p1_basis_study.csv,n_dof,11,,7.161319081765776e-05,1.0,0.0018455090466886759,0.0018455090466886759,single deterministic solve (numpy/CPU),0.0018455090466886759,True,,,
classical,bspline_p3,3,p1_basis_study.csv,n_dof,11,,0.0006118679368347318,1.0,0.0018455090466886759,0.0018455090466886759,single deterministic solve (numpy/CPU),0.0018455090466886759,True,,,
classical,monomial_raw,1,p1_basis_study.csv,n_dof,16,,nan,0.0,0.0002707340754568577,0.0002707340754568577,single deterministic solve (numpy/CPU),inf,False,,,
