m,basis,n_dof,cholesky_ok,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4
1,chebyshev,8,True,0.0004639970138669014,1.0324074853817172e-08,1.4892906245224242e-08,8.385479335599765e-06,0.0026796598105049735
1,bspline_p3,7,True,0.0011090170592069626,0.0001260126714830433,0.0008595461068194697,0.00602269462975616,0.028157692430479442
1,radial_hermite_fem,80,True,0.1473235860466957,5.3701845966425285e-08,4.141930904339646e-07,2.3266610023247197e-06,8.313766962561862e-06
1,monomial_raw,10,True,0.0002929260954260826,3.81364149318915e-11,1.7609938027013475e-10,4.163162102107025e-09,2.133532297124001e-05
1,monomial_orthonormalized,10,True,0.0002931018825620413,5.1455246873033714e-11,1.9589302687293958e-10,4.1533288069115976e-09,2.1412347476137613e-05
1,shifted_legendre,10,True,0.0006321240216493607,2.587991591927796e-11,1.5794144589045326e-10,4.154775605323269e-09,2.141234767179788e-05
1,integrated_legendre,10,True,0.0010167460422962904,4.9930539109039145e-11,2.004472515326211e-10,4.15545304843047e-09,2.1412348250291388e-05
1,chebyshev,10,True,0.0005388129502534866,4.3812690064969716e-11,1.8336683439044169e-10,4.154842847500845e-09,2.141234798695915e-05
1,bspline_p3,9,True,0.001276073046028614,4.034880608186215e-05,0.000267094977096225,0.00171064004245795,0.007380889565532613
1,radial_hermite_fem,80,True,0.05288468487560749,5.3701845966425285e-08,4.141930904339646e-07,2.3266610023247197e-06,8.313766962561862e-06
1,monomial_raw,12,True,0.00033486192114651203,3.368278842382901e-11,6.05338002658068e-11,6.411209787340402e-10,3.1561602934105396e-07
1,monomial_orthonormalized,12,True,0.00033782212994992733,7.04289587106516e-12,1.1351493410644699e-11,3.444436882568996e-11,8.739882555554186e-08
1,shifted_legendre,12,True,0.0008053071796894073,2.9006146289791483e-11,4.5011131493125255e-11,3.2136521231034615e-11,8.739754295667094e-08
1,integrated_legendre,12,True,0.0013592711184173822,1.7625811931658158e-11,4.132302628296408e-11,3.3832639664756816e-11,8.739811635780725e-08
1,chebyshev,12,True,0.0007437239401042461,4.279938788698852e-11,6.399456549942974e-11,2.7962484889892285e-11,8.739632961406515e-08
1,bspline_p3,11,True,0.001818693010136485,1.6573056785237986e-05,0.00010838488763837406,0.0006635933758058322,0.0026990691929811477
1,radial_hermite_fem,80,True,0.04800422606058419,5.3701845966425285e-08,4.141930904339646e-07,2.3266610023247197e-06,8.313766962561862e-06
1,monomial_raw,16,False,0.00035910215228796005,nan,nan,nan,nan
1,monomial_orthonormalized,16,True,0.0005436930805444717,1.7578148099004732e-10,2.630771220143876e-10,1.8029854659408924e-11,6.229442619232787e-12
1,shifted_legendre,16,True,0.0014890790916979313,3.887410486058309e-10,5.975261118792503e-10,2.3238721915191906e-11,1.3613608979321762e-12
1,integrated_legendre,16,True,0.0021025638561695814,7.810301406149155e-12,5.2961915859914564e-11,2.9649870573279965e-12,1.1333923585402918e-11
1,chebyshev,16,True,0.001292248023673892,2.665035244621398e-10,3.8333975121697145e-10,1.6782599592881065e-11,6.815291777054473e-12
1,bspline_p3,15,True,0.0036071951035410166,4.313512058769542e-06,2.7954239264159663e-05,0.00016433109328918292,0.0006301091352651451
1,radial_hermite_fem,80,True,0.08574166102334857,5.3701845966425285e-08,4.141930904339646e-07,2.3266610023247197e-06,8.313766962561862e-06
2,monomial_raw,6,True,0.0002668779343366623,1.2054098361291333e-05,7.295017842291175e-05,0.0005536011203477739,0.09580031192837654
2,monomial_orthonormalized,6,True,0.00023054308257997036,1.2054098560019184e-05,7.29501786559919e-05,0.0005536011312260583,0.09580031048621862
2,shifted_legendre,6,True,0.0004531489685177803,1.205409783621224e-05,7.295017736588588e-05,0.0005536011311467713,0.09580031048628028
2,integrated_legendre,6,True,0.000685947947204113,1.205409826386455e-05,7.295017806976565e-05,0.0005536011312182729,0.09580031048634415
2,chebyshev,6,True,0.00035171001218259335,1.2054098208371164e-05,7.295017804397095e-05,0.0005536011311887709,0.09580031048620002
2,bspline_p3,5,True,0.0006296448409557343,0.0011906618304221006,0.004621967892469503,0.03582608323043234,0.05767238365908354
2,radial_hermite_fem,80,True,0.10160207701846957,1.2906961596768073e-07,4.4818208402659643e-07,2.298287175107237e-06,8.165671776643674e-06
2,monomial_raw,8,True,0.000580253079533577,9.367618379752432e-08,1.1993994189577718e-07,8.166401317618082e-06,0.0027697046877693744
2,monomial_orthonormalized,8,True,0.000687355874106288,9.367865820995597e-08,1.1994631578402784e-07,8.166616820411059e-06,0.0027697182261605417
2,shifted_legendre,8,True,0.0006893721874803305,9.367662318662569e-08,1.1994267409237991e-07,8.166616787630948e-06,0.0027697182257951218
2,integrated_legendre,8,True,0.0008686990477144718,9.367860020968299e-08,1.1994560058429226e-07,8.166616738255908e-06,0.0027697182258360153
2,chebyshev,8,True,0.0005886370781809092,9.367664415332555e-08,1.1994281902517534e-07,8.166617150670663e-06,0.002769718225724924
2,bspline_p3,7,True,0.0012270649895071983,0.0002615193581227292,0.0009078161389215042,0.005862535514633935,0.027585763659998923
2,radial_hermite_fem,80,True,0.0533562779892236,1.2906961596768073e-07,4.4818208402659643e-07,2.298287175107237e-06,8.165671776643674e-06
2,monomial_raw,10,True,0.0046562310308218,5.617546360334952e-10,1.3064871271482882e-09,3.6577718301151195e-09,2.2427774492311684e-05
2,monomial_orthonormalized,10,True,0.0005953891668468714,5.68568699537995e-10,1.321681873995591e-09,3.6192590937374093e-09,2.2529408273977357e-05
2,shifted_legendre,10,True,0.0017516710795462132,5.764290469452077e-10,1.3354851917776634e-09,3.6205991856011966e-09,2.2529408709595004e-05
2,integrated_legendre,10,True,0.0013824407942593098,5.757765723615731e-10,1.3337805148780625e-09,3.619153173007616e-09,2.252940909600885e-05
